[[0, 0, -68.0], [0, 1, -83.5], [0, 2, -50.1], [0, 3, 61.2], [0, 4, -32.4], [0, 5, -172.8], [1, 0, -36.2], [1, 1, -51.6], [1, 2, -22.2], [1, 3, 24.8], [1, 4, 1.5], [1, 5, -83.7], [2, 0, -21.2], [2, 1, -13.1], [2, 2, 18.6], [2, 3, -10.2], [2, 4, 0.9], [2, 5, -25.0], [3, 0, -7.4], [3, 1, -0.3], [3, 2, -0.8], [3, 3, 2.8], [3, 4, 4.1], [3, 5, -1.5], [4, 0, -1.4], [4, 1, -0.5], [4, 2, -0.8], [4, 3, -0.5], [4, 4, 0.8], [4, 5, -2.5], [5, 0, -3.1], [5, 1, 0.2], [5, 2, -0.6], [5, 3, 0.9], [5, 4, 1.7], [5, 5, -0.8], [6, 0, -1.9], [6, 1, 1.0], [6, 2, 0.3], [6, 3, 0.3], [6, 4, 1.6], [6, 5, 1.4], [7, 0, -3.3], [7, 1, -1.3], [7, 2, -2.1], [7, 3, -1.9], [7, 4, -0.6], [7, 5, -9.2], [8, 0, -11.5], [8, 1, 0.4], [8, 2, -11.3], [8, 3, -3.7], [8, 4, -7.1], [8, 5, -33.4], [9, 0, -0.7], [9, 1, 0.8], [9, 2, -0.7], [9, 3, -1.1], [9, 4, 0.0], [9, 5, -1.7], [10, 0, -1.8], [10, 1, -2.6], [10, 2, -1.9], [10, 3, -0.9], [10, 4, -1.5], [10, 5, -8.8]]
[[0, 0, 42.2], [0, 1, 44.8], [0, 2, 52.0], [0, 3, 22.9], [0, 4, -3.0], [0, 5, 158.8], [1, 0, 87.9], [1, 1, -20.8], [1, 2, -3.5], [1, 3, -2.1], [1, 4, -5.1], [1, 5, 56.4], [2, 0, 39.5], [2, 1, 2.0], [2, 2, -1.0], [2, 3, 2.5], [2, 4, 3.5], [2, 5, 46.4], [3, 0, -18.6], [3, 1, 0.6], [3, 2, 1.0], [3, 3, 0.8], [3, 4, 1.5], [3, 5, -14.7], [4, 0, -0.9], [4, 1, -0.1], [4, 2, 0.1], [4, 3, 0.1], [4, 4, 0.1], [4, 5, -0.6], [5, 0, -14.8], [5, 1, -1.4], [5, 2, -0.3], [5, 3, 0.4], [5, 4, 0.4], [5, 5, -15.8], [6, 0, -3.6], [6, 1, -0.1], [6, 2, -0.1], [6, 3, -0.0], [6, 4, 0.2], [6, 5, -3.6], [7, 0, -4.4], [7, 1, 1.0], [7, 2, 0.2], [7, 3, 0.5], [7, 4, -0.1], [7, 5, -2.7], [8, 0, -17.8], [8, 1, -1.6], [8, 2, -0.0], [8, 3, -1.9], [8, 4, -0.9], [8, 5, -22.3], [9, 0, 0.5], [9, 1, 0.8], [9, 2, 0.9], [9, 3, 0.8], [9, 4, 0.8], [9, 5, 3.8], [10, 0, -0.6], [10, 1, 0.0], [10, 2, 0.2], [10, 3, 0.0], [10, 4, 0.0], [10, 5, -0.4]]
[[0, 0, -160.9], [0, 1, -107.2], [0, 2, -122.3], [0, 3, -144.5], [0, 4, -101.0], [0, 5, -636.0], [1, 0, -23.7], [1, 1, -8.0], [1, 2, -10.8], [1, 3, -35.8], [1, 4, -12.2], [1, 5, -90.5], [2, 0, -34.0], [2, 1, 7.9], [2, 2, -6.8], [2, 3, -0.9], [2, 4, 7.1], [2, 5, -26.6], [3, 0, 1.4], [3, 1, 5.8], [3, 2, -13.1], [3, 3, -47.2], [3, 4, -13.2], [3, 5, -66.3], [4, 0, -0.9], [4, 1, -1.8], [4, 2, 0.7], [4, 3, -4.1], [4, 4, -1.0], [4, 5, -7.1], [5, 0, 0.2], [5, 1, 0.3], [5, 2, -1.7], [5, 3, -3.5], [5, 4, 0.0], [5, 5, -4.7], [6, 0, -0.4], [6, 1, 1.1], [6, 2, -0.0], [6, 3, -7.0], [6, 4, -2.1], [6, 5, -8.3], [7, 0, 4.6], [7, 1, -2.0], [7, 2, -0.5], [7, 3, -8.7], [7, 4, -2.2], [7, 5, -8.8], [8, 0, -7.5], [8, 1, -9.3], [8, 2, 5.0], [8, 3, -6.3], [8, 4, -5.8], [8, 5, -23.9], [9, 0, 0.0], [9, 1, -0.1], [9, 2, 0.5], [9, 3, -1.9], [9, 4, -1.6], [9, 5, -3.1], [10, 0, -0.7], [10, 1, -1.9], [10, 2, -3.9], [10, 3, -7.6], [10, 4, -5.5], [10, 5, -19.5]]
[[0, 0, 44.8], [0, 1, 52.0], [0, 2, 22.9], [0, 3, -3.1], [0, 4, 15.9], [0, 5, 132.4], [1, 0, -20.8], [1, 1, -3.5], [1, 2, -2.1], [1, 3, -5.1], [1, 4, 6.7], [1, 5, -24.9], [2, 0, 2.0], [2, 1, -1.0], [2, 2, 2.5], [2, 3, 3.5], [2, 4, 1.4], [2, 5, 8.3], [3, 0, 0.6], [3, 1, 1.0], [3, 2, 0.8], [3, 3, 1.5], [3, 4, 0.3], [3, 5, 4.1], [4, 0, -0.1], [4, 1, 0.1], [4, 2, 0.1], [4, 3, 0.1], [4, 4, -0.3], [4, 5, -0.0], [5, 0, -1.4], [5, 1, -0.3], [5, 2, 0.4], [5, 3, 0.4], [5, 4, 0.2], [5, 5, -0.8], [6, 0, -0.1], [6, 1, -0.1], [6, 2, -0.0], [6, 3, 0.2], [6, 4, 0.2], [6, 5, 0.2], [7, 0, 1.0], [7, 1, 0.2], [7, 2, 0.5], [7, 3, -0.1], [7, 4, -0.4], [7, 5, 1.3], [8, 0, -1.6], [8, 1, -0.0], [8, 2, -1.9], [8, 3, -0.9], [8, 4, 2.1], [8, 5, -2.4], [9, 0, 0.8], [9, 1, 0.9], [9, 2, 0.8], [9, 3, 0.8], [9, 4, -0.1], [9, 5, 3.1], [10, 0, 0.0], [10, 1, 0.2], [10, 2, 0.0], [10, 3, 0.0], [10, 4, -0.1], [10, 5, 0.2]]
[[0, 0, -107.2], [0, 1, -122.3], [0, 2, -144.5], [0, 3, -101.0], [0, 4, -32.3], [0, 5, -507.4], [1, 0, -8.0], [1, 1, -10.8], [1, 2, -35.8], [1, 3, -12.2], [1, 4, -9.7], [1, 5, -76.5], [2, 0, 7.9], [2, 1, -6.8], [2, 2, -0.9], [2, 3, 7.1], [2, 4, 4.8], [2, 5, 12.1], [3, 0, 5.8], [3, 1, -13.1], [3, 2, -47.2], [3, 3, -13.2], [3, 4, 2.3], [3, 5, -65.4], [4, 0, -1.8], [4, 1, 0.7], [4, 2, -4.1], [4, 3, -1.0], [4, 4, 0.5], [4, 5, -5.6], [5, 0, 0.3], [5, 1, -1.7], [5, 2, -3.5], [5, 3, 0.0], [5, 4, -0.6], [5, 5, -5.6], [6, 0, 1.1], [6, 1, -0.0], [6, 2, -7.0], [6, 3, -2.1], [6, 4, -0.3], [6, 5, -8.3], [7, 0, -2.0], [7, 1, -0.5], [7, 2, -8.7], [7, 3, -2.2], [7, 4, -2.4], [7, 5, -15.8], [8, 0, -9.3], [8, 1, 5.0], [8, 2, -6.3], [8, 3, -5.8], [8, 4, -6.4], [8, 5, -22.8], [9, 0, -0.1], [9, 1, 0.5], [9, 2, -1.9], [9, 3, -6.3], [9, 4, 0.3], [9, 5, -7.5], [10, 0, -1.9], [10, 1, -3.9], [10, 2, -7.6], [10, 3, -5.5], [10, 4, -5.5], [10, 5, -24.4]]
[[0, 0, 52.0], [0, 1, 22.9], [0, 2, -3.1], [0, 3, 16.3], [0, 4, 20.3], [0, 5, 108.3], [1, 0, -3.5], [1, 1, -2.1], [1, 2, -5.1], [1, 3, 8.6], [1, 4, 13.3], [1, 5, 11.2], [2, 0, -1.0], [2, 1, 2.5], [2, 2, 3.5], [2, 3, 1.9], [2, 4, 0.1], [2, 5, 7.0], [3, 0, 1.0], [3, 1, 0.8], [3, 2, 1.5], [3, 3, 0.3], [3, 4, 0.8], [3, 5, 4.4], [4, 0, 0.1], [4, 1, 0.1], [4, 2, 0.1], [4, 3, -0.3], [4, 4, 0.1], [4, 5, 0.2], [5, 0, -0.3], [5, 1, 0.4], [5, 2, 0.4], [5, 3, 0.3], [5, 4, 0.3], [5, 5, 1.0], [6, 0, -0.1], [6, 1, -0.0], [6, 2, 0.2], [6, 3, 0.2], [6, 4, 0.0], [6, 5, 0.3], [7, 0, 0.2], [7, 1, 0.5], [7, 2, -0.1], [7, 3, -0.4], [7, 4, -0.2], [7, 5, 0.1], [8, 0, -0.0], [8, 1, -1.9], [8, 2, -0.9], [8, 3, 2.1], [8, 4, 1.3], [8, 5, 0.6], [9, 0, 0.9], [9, 1, 0.8], [9, 2, 0.8], [9, 3, -0.1], [9, 4, 0.1], [9, 5, 2.4], [10, 0, 0.2], [10, 1, 0.0], [10, 2, 0.0], [10, 3, -0.1], [10, 4, 0.1], [10, 5, 0.2]]
[[0, 0, -122.3], [0, 1, -144.5], [0, 2, -101.0], [0, 3, -32.3], [0, 4, -141.1], [0, 5, -541.2], [1, 0, -10.8], [1, 1, -35.8], [1, 2, -12.2], [1, 3, -9.7], [1, 4, -20.6], [1, 5, -89.1], [2, 0, -6.8], [2, 1, -0.9], [2, 2, 7.1], [2, 3, 4.8], [2, 4, -9.5], [2, 5, -5.3], [3, 0, -13.1], [3, 1, -47.2], [3, 2, -13.2], [3, 3, 2.3], [3, 4, -17.7], [3, 5, -88.9], [4, 0, 0.7], [4, 1, -4.1], [4, 2, -1.0], [4, 3, 0.5], [4, 4, -0.9], [4, 5, -4.7], [5, 0, -1.7], [5, 1, -3.5], [5, 2, 0.0], [5, 3, -0.6], [5, 4, -1.6], [5, 5, -7.4], [6, 0, -0.0], [6, 1, -7.0], [6, 2, -2.1], [6, 3, -0.3], [6, 4, -4.7], [6, 5, -14.2], [7, 0, -0.5], [7, 1, -8.7], [7, 2, -2.2], [7, 3, -2.4], [7, 4, -3.7], [7, 5, -17.4], [8, 0, 5.0], [8, 1, -6.3], [8, 2, -5.8], [8, 3, -6.4], [8, 4, -3.2], [8, 5, -16.8], [9, 0, 0.5], [9, 1, -1.9], [9, 2, -6.3], [9, 3, 0.3], [9, 4, -0.1], [9, 5, -7.5], [10, 0, -3.9], [10, 1, -7.6], [10, 2, -5.5], [10, 3, -5.5], [10, 4, -3.8], [10, 5, -26.2]]
[[0, 0, 22.9], [0, 1, -3.1], [0, 2, 16.3], [0, 3, 20.5], [0, 4, 10.1], [0, 5, 66.6], [1, 0, -2.1], [1, 1, -5.1], [1, 2, 8.6], [1, 3, 13.5], [1, 4, 17.1], [1, 5, 32.0], [2, 0, 2.5], [2, 1, 3.5], [2, 2, 1.9], [2, 3, 0.1], [2, 4, 5.0], [2, 5, 13.0], [3, 0, 0.8], [3, 1, 1.5], [3, 2, 0.3], [3, 3, 0.8], [3, 4, 1.2], [3, 5, 4.6], [4, 0, 0.1], [4, 1, 0.1], [4, 2, -0.3], [4, 3, 0.1], [4, 4, 0.3], [4, 5, 0.3], [5, 0, 0.4], [5, 1, 0.4], [5, 2, 0.3], [5, 3, 0.3], [5, 4, -0.4], [5, 5, 0.9], [6, 0, -0.0], [6, 1, 0.2], [6, 2, 0.2], [6, 3, 0.0], [6, 4, 0.0], [6, 5, 0.4], [7, 0, 0.5], [7, 1, -0.1], [7, 2, -0.4], [7, 3, -0.2], [7, 4, -0.1], [7, 5, -0.2], [8, 0, -1.9], [8, 1, -0.9], [8, 2, 2.1], [8, 3, 1.3], [8, 4, 0.2], [8, 5, 0.8], [9, 0, 0.8], [9, 1, 0.8], [9, 2, -0.1], [9, 3, 0.1], [9, 4, 0.1], [9, 5, 1.6], [10, 0, 0.0], [10, 1, 0.0], [10, 2, -0.1], [10, 3, 0.1], [10, 4, 0.1], [10, 5, 0.2]]
[[0, 0, -144.5], [0, 1, -101.0], [0, 2, -32.3], [0, 3, -141.1], [0, 4, -15.8], [0, 5, -434.7], [1, 0, -35.8], [1, 1, -12.2], [1, 2, -9.7], [1, 3, -20.6], [1, 4, -7.7], [1, 5, -86.0], [2, 0, -0.9], [2, 1, 7.1], [2, 2, 4.8], [2, 3, -9.5], [2, 4, 18.0], [2, 5, 19.5], [3, 0, -47.2], [3, 1, -13.2], [3, 2, 2.3], [3, 3, -17.7], [3, 4, -5.0], [3, 5, -80.8], [4, 0, -4.1], [4, 1, -1.0], [4, 2, 0.5], [4, 3, -0.9], [4, 4, 0.2], [4, 5, -5.2], [5, 0, -3.5], [5, 1, 0.0], [5, 2, -0.6], [5, 3, -1.6], [5, 4, 1.4], [5, 5, -4.3], [6, 0, -7.0], [6, 1, -2.1], [6, 2, -0.3], [6, 3, -4.7], [6, 4, -1.6], [6, 5, -15.8], [7, 0, -8.7], [7, 1, -2.2], [7, 2, -2.4], [7, 3, -3.7], [7, 4, -5.1], [7, 5, -22.0], [8, 0, -6.3], [8, 1, -5.8], [8, 2, -6.4], [8, 3, -3.2], [8, 4, -0.8], [8, 5, -22.5], [9, 0, -1.9], [9, 1, -6.3], [9, 2, 0.3], [9, 3, -0.1], [9, 4, -1.3], [9, 5, -9.3], [10, 0, -7.6], [10, 1, -5.5], [10, 2, -5.5], [10, 3, -3.8], [10, 4, -1.7], [10, 5, -24.1]]
[[0, 0, -3.1], [0, 1, 16.3], [0, 2, 20.5], [0, 3, 10.2], [0, 4, -1.4], [0, 5, 42.4], [1, 0, -5.1], [1, 1, 8.6], [1, 2, 13.5], [1, 3, 17.5], [1, 4, 7.9], [1, 5, 42.4], [2, 0, 3.5], [2, 1, 1.9], [2, 2, 0.1], [2, 3, 2.4], [2, 4, 6.7], [2, 5, 14.6], [3, 0, 1.5], [3, 1, 0.3], [3, 2, 0.8], [3, 3, 1.2], [3, 4, 1.4], [3, 5, 5.2], [4, 0, 0.1], [4, 1, -0.3], [4, 2, 0.1], [4, 3, 0.3], [4, 4, 0.1], [4, 5, 0.3], [5, 0, 0.4], [5, 1, 0.3], [5, 2, 0.3], [5, 3, -0.4], [5, 4, -0.5], [5, 5, 0.0], [6, 0, 0.2], [6, 1, 0.2], [6, 2, 0.0], [6, 3, 0.0], [6, 4, 0.2], [6, 5, 0.6], [7, 0, -0.1], [7, 1, -0.4], [7, 2, -0.2], [7, 3, -0.1], [7, 4, 0.1], [7, 5, -0.6], [8, 0, -0.9], [8, 1, 2.1], [8, 2, 1.3], [8, 3, 0.2], [8, 4, 0.8], [8, 5, 3.5], [9, 0, 0.8], [9, 1, -0.1], [9, 2, 0.1], [9, 3, 0.1], [9, 4, 0.1], [9, 5, 0.9], [10, 0, 0.0], [10, 1, -0.1], [10, 2, 0.1], [10, 3, 0.1], [10, 4, 0.1], [10, 5, 0.3]]
[[0, 0, -101.0], [0, 1, -32.3], [0, 2, -141.1], [0, 3, -15.8], [0, 4, -32.7], [0, 5, -322.9], [1, 0, -12.2], [1, 1, -9.7], [1, 2, -20.6], [1, 3, -7.7], [1, 4, -32.2], [1, 5, -82.3], [2, 0, 7.1], [2, 1, 4.8], [2, 2, -9.5], [2, 3, 18.0], [2, 4, -33.9], [2, 5, -13.5], [3, 0, -13.2], [3, 1, 2.3], [3, 2, -17.7], [3, 3, -5.0], [3, 4, -1.7], [3, 5, -35.3], [4, 0, -1.0], [4, 1, 0.5], [4, 2, -0.9], [4, 3, 0.2], [4, 4, -1.0], [4, 5, -2.0], [5, 0, 0.0], [5, 1, -0.6], [5, 2, -1.6], [5, 3, 1.4], [5, 4, -1.4], [5, 5, -2.3], [6, 0, -2.1], [6, 1, -0.3], [6, 2, -4.7], [6, 3, -1.6], [6, 4, 0.2], [6, 5, -8.6], [7, 0, -2.2], [7, 1, -2.4], [7, 2, -3.7], [7, 3, -5.1], [7, 4, -4.4], [7, 5, -17.6], [8, 0, -5.8], [8, 1, -6.4], [8, 2, -3.2], [8, 3, -0.8], [8, 4, -4.6], [8, 5, -20.8], [9, 0, -6.3], [9, 1, 0.3], [9, 2, -0.1], [9, 3, -1.3], [9, 4, 0.3], [9, 5, -7.1], [10, 0, -5.5], [10, 1, -5.5], [10, 2, -3.8], [10, 3, -1.7], [10, 4, -1.9], [10, 5, -18.4]]
[[0, 0, 16.3], [0, 1, 20.5], [0, 2, 10.2], [0, 3, -0.9], [0, 4, 12.1], [0, 5, 58.1], [1, 0, 8.6], [1, 1, 13.5], [1, 2, 17.5], [1, 3, 8.0], [1, 4, 10.3], [1, 5, 57.9], [2, 0, 1.9], [2, 1, 0.1], [2, 2, 2.4], [2, 3, 6.8], [2, 4, 14.2], [2, 5, 25.4], [3, 0, 0.3], [3, 1, 0.8], [3, 2, 1.2], [3, 3, 1.5], [3, 4, 1.3], [3, 5, 5.2], [4, 0, -0.3], [4, 1, 0.1], [4, 2, 0.3], [4, 3, 0.1], [4, 4, 0.1], [4, 5, 0.3], [5, 0, 0.3], [5, 1, 0.3], [5, 2, -0.4], [5, 3, -0.5], [5, 4, 1.9], [5, 5, 1.6], [6, 0, 0.2], [6, 1, 0.0], [6, 2, 0.0], [6, 3, 0.2], [6, 4, -0.2], [6, 5, 0.2], [7, 0, -0.4], [7, 1, -0.2], [7, 2, -0.1], [7, 3, 0.1], [7, 4, -0.5], [7, 5, -1.0], [8, 0, 2.1], [8, 1, 1.3], [8, 2, 0.2], [8, 3, 0.8], [8, 4, 0.4], [8, 5, 4.8], [9, 0, -0.1], [9, 1, 0.1], [9, 2, 0.1], [9, 3, 0.1], [9, 4, 0.1], [9, 5, 0.2], [10, 0, -0.1], [10, 1, 0.1], [10, 2, 0.1], [10, 3, 0.1], [10, 4, 0.1], [10, 5, 0.4]]
